Column1,·ò-ÆÞ,¸¸-×Ó,¸¸-Å®,Ä¸-×Ó,Ä¸-Å®,ÐÖ-µÜ,ÐÖ-ÃÃ,½ã-µÜ,½ã-ÃÃ,×æ¸¸-Ëï×Ó,×æ¸¸-ËïÅ®,×æÄ¸-Ëï×Ó,×æÄ¸-ËïÅ®,Íâ×æ¸¸-ÍâËï×Ó,Íâ×æ¸¸-ÍâËïÅ®,Íâ×æÄ¸-ÍâËï×Ó,Íâ×æÄ¸-ÍâËïÅ®,Ôø×æ¸¸-ÔøËï×Ó,Ôø×æ¸¸-ÔøËïÅ®,Ôø×æÄ¸-ÔøËï×Ó,Ôø×æÄ¸-ÔøËïÅ®,¸ß×æ¸¸-ÐþËï,¸ß×æÄ¸-ÐþËï,ÍâÔø×æ¸¸-ÍâÔøËï,ÍâÔø×æÄ¸-ÍâÔøËï,×æÏÈ-ºó´ú,²®¸¸-Ö¶×Ó,²®¸¸-Ö¶Å®,²®Ä¸-Ö¶×Ó,²®Ä¸-Ö¶Å®,Êå¸¸-Ö¶×Ó,Êå¸¸-Ö¶Å®,ÊåÄ¸-Ö¶×Ó,ÊåÄ¸-Ö¶Å®,¹Ã¸¸-Ö¶×Ó,¹Ã¸¸-Ö¶Å®,¹ÃÄ¸-Ö¶×Ó,¹ÃÄ¸-Ö¶Å®,¾Ë¸¸-ÍâÉû,¾Ë¸¸-ÍâÉûÅ®,¾ËÄ¸-ÍâÉû,¾ËÄ¸-ÍâÉûÅ®,ÒÌ¸¸-ÍâÉû,ÒÌ¸¸-ÍâÉûÅ®,ÒÌÄ¸-ÍâÉû,ÒÌÄ¸-ÍâÉûÅ®,ÌÃÐÖ-ÌÃµÜ,ÌÃÐÖ-ÌÃÃÃ,ÌÃ½ã-ÌÃµÜ,ÌÃ½ã-ÌÃÃÃ,±íÐÖ-±íµÜ,±íÐÖ-±íÃÃ,±í½ã-±íµÜ,±í½ã-±íÃÃ,¹Ã±íÐÖ-¹Ã±íµÜ,¹Ã±íÐÖ-¹Ã±íÃÃ,¹Ã±í½ã-¹Ã±íµÜ,¹Ã±í½ã-¹Ã±íÃÃ,¾Ë±íÐÖ-¾Ë±íµÜ,¾Ë±íÐÖ-¾Ë±íÃÃ,¾Ë±í½ã-¾Ë±íµÜ,¾Ë±í½ã-¾Ë±íÃÃ,ÒÌ±íÐÖ-ÒÌ±íµÜ,ÒÌ±íÐÖ-ÒÌ±íÃÃ,ÒÌ±í½ã-ÒÌ±íµÜ,ÒÌ±í½ã-ÒÌ±íÃÃ,ÔÀ¸¸-Å®Ðö,ÔÀÄ¸-Å®Ðö,¹«¹«-¶ùÏ±,ÆÅÆÅ-¶ùÏ±,¾Ë¸¸-ÉûÏ±,¾Ë¸¸-ÉûÅ®Ðö,²®¸¸-Ö¶Ï±,²®¸¸-Ö¶Å®Ðö,½ã·ò-ÆÞµÜ,ÃÃ·ò-ÆÞÐÖ,ÃÃ·ò-ÆÞ½ã,Êå-É©,¹Ã-É©,µÜÏ±-²®,ÐÖÆÞ-µÜÆÞ,½ã·ò-ÃÃ·ò,Ç×¼Ò-Ç×¼Ò,´Ó×æ¸¸-´ÓËï×Ó,´Ó×æ¸¸-´ÓËïÅ®,´Ó×æÄ¸-´ÓËï×Ó,´Ó×æÄ¸-´ÓËïÅ®,´Ó×æ¹Ã-´ÓÖ¶Ëï,ÔÙ´ÓÐÖ-ÔÙ´ÓµÜ,Èý´ÓÐÖ-Èý´ÓµÜ,ÌÃ²®-ÌÃÖ¶,±íÊå-±íÖ¶,×å²®Êå-×åÖ¶,×åÐÖ-×åµÜ,×å½ã-×åÃÃ,ÌÃ×æ¸¸-ÌÃÖ¶Ëï,ÌÃ×æÄ¸-ÌÃÖ¶Ëï,ÌÃ½ã·ò-ÌÃÄÚµÜ,±íÉ©-±íÐ¡Êå,Òö²®Êå-ÒöÖ¶,¾Ë¹«-ÉûËï,ÒÌÆÅ-ÒÌÉûËï,¼Ì×æ¸¸-¼ÌËï×Ó,¼Ì×æ¸¸-¼ÌËïÅ®,¼Ì×æÄ¸-¼ÌËï×Ó,¼Ì×æÄ¸-¼ÌËïÅ®,¼ÌÍâ×æ¸¸-¼ÌÍâËï×Ó,¼ÌÍâ×æ¸¸-¼ÌÍâËïÅ®,¼ÌÍâ×æÄ¸-¼ÌÍâËï×Ó,¼ÌÍâ×æÄ¸-¼ÌÍâËïÅ®,¼Ì¸¸-¼Ì×Ó,¼Ì¸¸-¼ÌÅ®,¼ÌÄ¸-¼Ì×Ó,¼ÌÄ¸-¼ÌÅ®,¼ÌÐÖ-¼ÌµÜ,¼ÌÐÖ-¼ÌÃÃ,¼Ì½ã-¼ÌµÜ,¼Ì½ã-¼ÌÃÃ,Ñø¸¸-Ñø×Ó,Ñø¸¸-ÑøÅ®,ÑøÄ¸-Ñø×Ó,ÑøÄ¸-ÑøÅ®,Òå¸¸-Òå×Ó,Òå¸¸-ÒåÅ®,ÒåÄ¸-Òå×Ó,ÒåÄ¸-ÒåÅ®,¸Éµù-¸É¶ù×Ó,¸Éµù-¸ÉÅ®¶ù,¸ÉÂè-¸É¶ù×Ó,¸ÉÂè-¸ÉÅ®¶ù,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸µÜ,Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸ÃÃ,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸ÃÃ,Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸µÜ,Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸µÜ,Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸ÃÃ,Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸ÃÃ,Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸µÜ,Òì¸¸ÒìÄ¸ÐÖ-Òì¸¸ÒìÄ¸µÜ,Òì¸¸ÒìÄ¸½ã-Òì¸¸ÒìÄ¸ÃÃ,Òì¸¸ÒìÄ¸ÐÖ-Òì¸¸ÒìÄ¸ÃÃ,Òì¸¸ÒìÄ¸½ã-Òì¸¸ÒìÄ¸µÜ
·ò-ÆÞ,1,0.535686687,0.450678266,0.507309405,0.487416775,0.320495171,0.211029473,0.290906247,0.315589947,0.102008064,0.295186114,0.106227226,0.195078449,0.065546806,0.182011614,0.294808396,0.166974367,0.033238001,0.043511165,0.084835613,-0.017295014,-0.037142369,-0.081633365,-0.225800767,-0.074558234,0.244436481,-0.235932372,-0.224810153,-0.198734028,-0.257877189,-0.184508759,-0.200692941,-0.037137812,-0.277432766,-0.393956045,-0.074837055,0.048401619,-0.08820098,-0.132448989,0.15605342,-0.070956101,-0.229236828,-0.135947705,-0.0910933,-0.014371936,-0.149809981,-0.047485504,-0.212255983,-0.240208343,-0.130912442,-0.056863598,-0.266693349,-0.091916761,-0.044160093,-0.356304537,-0.260862679,-0.302160934,-0.152454028,0.004654918,-0.251180269,-0.332131575,-0.3255003,-0.352191974,-0.3151683,-0.442364258,-0.288846045,0.38557219,0.251197227,0.197246106,0.408833191,-0.084120057,-0.086717786,-0.007617275,-0.093648407,0.249856275,0.028564326,-0.09965025,0.274971281,0.357957504,0.030896291,0.087410756,-0.044977421,0.235635855,-0.146155451,-0.191277556,-0.325516408,-0.299503004,-0.385473001,-0.14389157,-0.21499094,0.145441619,-0.098260582,-0.090948209,-0.159853502,0.065962257,-0.130909142,-0.240824623,-0.015535054,-0.105603474,0.080579093,-0.127776493,-0.281912047,-0.197030053,-0.055196939,-0.127558216,-0.273661956,-0.305607925,-0.234778478,-0.173573796,-0.269274172,0.222102199,0.004030689,0.183717533,0.070758,0.09121382,0.112732891,0.10256974,-0.018201296,0.230938041,0.28717554,0.142879585,0.292935944,0.150692785,0.068839149,0.249882021,0.226288338,0.073181321,0.092402452,0.254064946,0.235558598,-0.020099554,0.086295243,-0.155049501,0.125989662,0.183252369,-0.176067795,-0.289117987,-0.293462811,-0.213429678,-0.165884868,-0.18746754,-0.095521622
¸¸-×Ó,0.535686687,1,0.500035992,0.645902336,0.580675001,0.208167766,0.180516841,0.168230199,0.098919357,0.254568373,0.223498126,0.122520698,0.199436556,0.289248265,0.302950518,0.234858875,0.233880053,0.141548257,0.129792855,0.237115691,0.021834744,0.10830216,0.021205077,-0.141227437,0.102960838,0.204455935,-0.078738634,-0.188467461,-0.162655398,-0.097438139,-0.078127568,-0.154956748,-0.154140145,-0.261626662,-0.24991004,-0.073595275,0.088604495,-0.077855431,0.250323561,0.28256853,0.110244827,0.007451149,0.139637269,0.226775243,0.088692795,-0.052363925,0.027265112,-0.173696836,-0.143847679,-0.125404255,-0.052606446,-0.317958807,-0.0644862,-0.270701069,-0.317413875,-0.38940348,-0.401718622,-0.327989863,0.073334544,-0.181230683,-0.369887853,-0.501292387,-0.316935699,-0.414324843,-0.435283781,-0.252834614,0.359550111,0.280513167,0.235413484,0.381235873,0.030966428,0.094004157,-0.025162691,0.061981233,0.149995514,0.045667639,-0.138982131,0.054792757,0.203442745,0.091191346,-0.159045605,-0.210432247,0.083402423,-0.171275319,-0.122813504,-0.140924409,-0.28082778,-0.357040789,-0.159891226,-0.182211718,0.100973968,-0.045555777,-0.06308463,-0.121598697,-0.212749206,-0.109518724,-0.166411036,-0.066686199,-0.238695654,0.15163179,0.011864633,-0.226454421,-0.122131778,0.070397465,-0.025557002,-0.287125607,-0.237827147,-0.200322482,-0.1200059,-0.296900235,0.169864868,0.149704622,0.100639975,0.084783703,0.008803159,-0.08685132,-0.00846116,0.015349734,0.192263677,0.154441584,0.040537508,0.127845309,0.193395583,0.159153297,0.157453669,0.129014832,0.212019152,0.106672991,0.129769589,0.009558001,-0.001940748,-0.154266601,-0.188522317,0.072330433,0.016346609,-0.399446517,-0.427321371,-0.438925274,-0.289385582,-0.333273715,-0.360058182,-0.324425261
¸¸-Å®,0.450678266,0.500035992,1,0.524504786,0.534710707,0.067850926,0.123266685,0.172927875,0.19165778,-0.010932407,0.184163876,0.062082128,0.194717317,-0.030781885,0.375795855,0.284885618,0.281588268,-0.126917496,0.049505525,0.183126135,-0.016956826,-0.151862843,-0.072803033,-0.201714025,-0.014070492,-0.106993849,-0.163109702,-0.050900389,-0.210467294,-0.025446731,-0.23250962,-0.052671735,-0.087143431,-0.091881802,-0.32039825,-0.00028284,0.169431736,0.124682339,-0.070316168,0.427694369,0.082053156,0.143818154,0.08716773,0.176777174,0.144192614,-0.051448929,-0.054392968,-0.092475517,-0.039423336,-0.03098002,-0.120077265,-0.092791682,-0.039102351,-0.004199516,-0.231049429,-0.310118554,-0.246931755,-0.091724188,0.09131161,0.078513452,-0.364672193,-0.281443064,-0.296345533,-0.118512122,-0.268720999,-0.249992841,0.20791186,0.202160775,0.16133185,0.226680269,-0.128483855,-0.092104601,-0.002192501,-0.009579132,0.104533748,0.042823628,-0.103387755,0.203197456,0.193287153,-0.042746414,-0.180228921,-0.171555098,-0.061459474,-0.272019982,-0.117486452,-0.27710146,-0.231016547,-0.451542506,-0.187626738,-0.323820159,-0.061964971,-0.155065809,-0.296810024,-0.275330929,-0.029408591,-0.283899253,-0.314036338,-0.225959296,-0.19457566,-0.145136315,-0.139215416,-0.317370871,-0.146162012,0.176722215,-0.085884352,-0.246352756,-0.298180908,-0.039462088,-0.05292266,-0.193437768,0.306880538,0.253461158,0.154110011,0.118889797,-0.019596978,0.023959111,0.009900322,0.118187263,0.139724411,0.341756413,0.054829295,0.289977007,0.02745953,0.265389483,0.169459453,0.181983045,0.052924753,0.044009741,0.1200677,0.130465439,-0.041823943,0.053589154,0.066841692,0.192485718,0.030480918,-0.258969648,-0.277661545,-0.243957339,-0.284686315,-0.183055326,-0.198073801,-0.146624399
Ä¸-×Ó,0.507309405,0.645902336,0.524504786,1,0.6210306,0.044747908,0.104108418,0.247269987,0.184603571,0.109652866,0.153022132,0.134419207,0.282707552,0.098946901,0.35906618,0.335068056,0.287800447,-0.026987009,0.056741543,0.226408059,-0.064449086,-0.124576549,-0.028376009,-0.171026706,0.173226209,0.106054441,-0.145157093,-0.1393771,-0.084863098,0.065794225,-0.280301235,-0.229365372,-0.07319615,-0.143470827,-0.255539145,-0.035649651,0.067370252,0.100100902,0.071567501,0.340917445,-0.023386887,0.158387379,0.064784195,0.255812872,0.050907965,-0.060418414,-0.140807594,-0.131950783,-0.022593823,-0.078991409,-0.119433165,-0.168095063,-0.01494953,-0.17609853,-0.373498377,-0.45158926,-0.26490745,-0.213582038,-0.102642065,-0.095115764,-0.411655668,-0.430644406,-0.245969794,-0.239385446,-0.341766111,-0.286555101,0.223134963,0.202220507,0.150947845,0.339504324,-0.13545944,-0.03485044,-0.067204297,-0.018167801,0.062727443,0.01062588,-0.142298819,0.033825034,0.257749448,-0.023386213,-0.145628576,-0.231517565,0.008526454,-0.197375511,-0.082887653,-0.248989476,-0.273752107,-0.399166087,-0.395133375,-0.345209613,-0.079047662,-0.164962247,-0.28185836,-0.317418572,-0.28759729,-0.237661517,-0.273352609,-0.107420494,-0.326485042,0.077922105,-0.216370069,-0.194252188,-0.075637716,0.228422894,0.096892515,-0.186327683,-0.145463657,-0.02621162,0.07574127,-0.201467923,0.253379184,0.210779413,0.278894092,0.174048765,0.049811629,0.014254022,0.085607108,0.115977511,0.158592732,0.186777381,0.072916563,0.295288563,0.006964347,0.002799569,0.238976056,0.254242623,0.077853294,0.026638618,0.194011485,0.065492432,-0.045372056,0.017586424,-0.079429148,0.149211729,0.103838111,-0.225326791,-0.239882545,-0.317637932,-0.223609488,-0.192837531,-0.199777585,-0.220683463
Ä¸-Å®,0.487416775,0.580675001,0.534710707,0.6210306,1,0.087020842,0.136671292,0.247389135,0.333152197,-0.066076578,0.110620796,0.034759779,0.357117488,0.124287121,0.31436824,0.200218013,0.41041622,-0.074965091,0.173784731,0.206595416,-0.043723504,-0.190585359,-0.076888386,-0.29282863,0.167813543,0.022399972,-0.268740176,-0.080801975,-0.113053573,0.137537863,-0.349244843,-0.247201609,-0.22694295,0.031259273,-0.211147352,-0.12283138,-0.028688873,0.203636983,0.013484869,0.296123226,0.109701455,0.191709481,0.190473633,0.308947783,0.147882026,-0.015513494,0.090053927,-0.166522344,0.038528006,0.060335349,-0.101353867,-0.141278547,-0.021617972,-0.00884448,-0.484221808,-0.395288642,-0.275132778,-0.14335124,0.022248185,-0.05907038,-0.305331186,-0.301716682,-0.284478662,-0.140998449,-0.295895958,-0.161895728,0.197204213,0.273853431,0.222108021,0.397466318,-0.171496342,-0.038914152,-0.14977575,-0.048640918,0.238714219,0.030648362,-0.04664734,0.041130126,0.273923085,-0.01622956,-0.146869578,-0.154880457,-0.119368863,-0.362236602,-0.195910314,-0.318292155,-0.222502158,-0.480345419,-0.274079431,-0.326997523,-0.109740405,-0.174330666,-0.232028602,-0.163915688,0.019714651,-0.333661045,-0.42290018,-0.224133191,-0.219037489,-0.092489639,-0.178209952,-0.025570315,-0.18976785,0.162631582,-0.109462865,-0.28459024,-0.311724416,-0.126955805,-0.038020996,-0.154003534,0.236584869,0.257272925,0.174397496,0.230751641,0.096113613,0.01432765,0.187367967,0.350636629,0.027988385,0.125053548,-0.104671819,0.17766877,-0.042842837,-0.004772859,0.109351057,0.196753118,0.114511292,0.003594817,0.280220814,0.289480736,-0.025356991,0.03195392,-0.009353141,0.206896675,0.079576155,-0.235022249,-0.388477421,-0.372271209,-0.30291384,-0.156007345,-0.305407944,-0.27593009
ÐÖ-µÜ,0.320495171,0.208167766,0.067850926,0.044747908,0.087020842,1,0.489693371,0.283193284,0.473957394,0.144752103,-0.0239558,-0.117813759,-0.251772754,0.029096975,-0.110820613,0.052625152,-0.213085121,0.061494494,-0.106628761,-0.137057999,-0.194944322,0.077018598,-0.210280937,-0.033297403,-0.229975197,0.324244877,-0.005345009,-0.144625034,-0.10357086,-0.226572249,0.014408153,-0.032745379,-0.078115565,-0.236302089,-0.158766461,-0.234791293,-0.027173429,-0.22971805,0.073515793,0.011517,-0.038210614,-0.399410562,-0.203096271,-0.332892595,-0.03569204,-0.278525916,0.261926645,-0.123028133,-0.317148138,-0.099979006,0.139665091,-0.213524182,-0.150229255,0.044769437,-0.16263669,-0.003031898,-0.108460218,-0.016643521,0.385648608,-0.126062284,-0.14608041,-0.108157384,-0.18857538,-0.243831249,-0.279586858,0.024987004,0.382154754,0.060047312,0.053419607,0.063984984,-0.117480728,0.029453607,-0.201054081,-0.116804538,0.027839766,-0.027820158,-0.191537964,-0.027645134,0.015453708,0.021013387,0.111881108,0.056527884,0.337414176,0.157254068,-0.218227369,-0.259344443,-0.270420854,-0.110192103,0.314341953,0.248331475,0.195222158,0.012363925,0.05798924,0.061649487,-0.010424884,-0.053651805,-0.162559441,-0.044838888,-0.134185559,-0.057186584,-0.066245238,-0.164894309,-0.283787249,-0.330049882,-0.337774533,-0.200227088,-0.171792402,-0.192857856,-0.162628629,-0.219762912,0.187427215,-0.019842412,0.040055408,0.087953753,0.46613394,-0.032008193,0.0214479,-0.087790431,0.24921543,0.111298688,0.198544073,-0.017876844,0.397492261,0.109502312,0.320520211,0.173710747,0.119560771,0.02337024,0.068664366,-0.004400802,0.147150969,-0.020051864,-0.186167927,0.035982945,0.156932951,-0.052246019,-0.213460726,0.027881569,0.081278981,-0.112059272,-0.025652867,0.067203291
ÐÖ-ÃÃ,0.211029473,0.180516841,0.123266685,0.104108418,0.136671292,0.489693371,1,0.357676091,0.384855864,0.195192567,0.083439897,-0.021390278,-0.053735559,-0.018485091,-0.031521693,0.017629712,-0.056435902,0.041592448,0.02020374,-0.138882138,-0.065483627,0.060769807,-0.072230068,-0.098669749,-0.05920339,0.194239567,-0.070946057,0.037525336,-0.15923432,-0.059581589,0.016081959,0.043019169,-0.077331394,-0.161126453,-0.228682494,-0.248129488,-0.037315406,-0.271221456,-0.11616562,-0.035739819,-0.103847662,-0.171130388,-0.21360076,-0.084929524,-0.094478023,-0.2248908,0.019759689,0.136106075,-0.107775826,-0.048522971,0.043030657,0.075190091,0.120858211,0.00542731,-0.088508174,0.059462347,0.010420253,0.077035463,0.122030605,0.099363021,-0.19509817,-0.127749723,-0.149888567,-0.153365665,-0.186060578,-0.058504215,0.162413871,0.022585637,0.019355802,0.045256704,-0.092939984,-0.128888316,-0.011909704,-0.217453281,-0.089432869,-0.026839386,-0.117030318,-0.019636737,-0.121979744,-0.02255633,-0.001210776,-0.036763825,0.174099477,0.109748843,0.061145592,-0.227140161,0.022907025,-0.079484513,0.062479404,0.036048651,0.010376776,-0.102232758,0.001689102,-0.080192028,0.031421396,-0.170835961,-0.222526491,-0.27868309,-0.318067871,-0.086438729,-0.172365981,-0.123912577,-0.252026801,-0.080582116,-0.220536626,-0.08990306,-0.031351866,0.001670166,-0.098492559,-0.111855488,0.014644345,0.002407924,-0.012532303,0.052625791,0.141160953,-0.065911431,-0.006248787,0.014338602,0.151436249,0.128233059,0.056982546,0.008805053,0.13915992,0.135796136,0.237045694,0.093818929,-0.131872582,-0.076188245,0.010147944,0.009775901,0.016225657,0.00579364,0.030906918,-0.033988484,0.00032128,-0.065324561,-0.093039468,0.0763693,-0.037758064,0.014182117,-0.079814249,0.063057936
½ã-µÜ,0.290906247,0.168230199,0.172927875,0.247269987,0.247389135,0.283193284,0.357676091,1,0.466283805,0.192418992,0.06075904,0.16596205,0.091926287,0.080380968,0.133959784,0.097090731,-0.041915369,-0.256837284,-0.075348009,-0.165090596,-0.18513247,-0.193709576,-0.10899685,-0.102200328,-0.034370707,0.132288087,-0.04068535,0.152746875,-0.107390151,0.068249832,-0.040019883,0.127983604,0.069602708,0.137139015,-0.109371422,-0.089798626,-0.064631938,-0.010385631,-0.038691329,0.027582604,-0.158432558,-0.080766125,-0.013634144,0.01937222,0.019200209,-0.126931144,-0.093548492,-0.090110858,-0.037779481,0.071995824,-0.157768118,-0.133253442,0.233801739,0.217605931,-0.119805811,-0.126799974,0.189425641,0.102645612,0.143649974,-0.046252529,-0.1206949,-0.10269575,-0.059443681,-0.049951897,-0.139547484,-0.219535323,0.112999421,0.141408536,-0.074893049,0.209158305,-0.21777943,-0.20775503,-0.14735007,-0.07346054,0.119544283,-0.245305728,-0.258030698,0.000418163,-0.017489273,-0.137290093,0.146032366,-0.053501075,-0.042600049,-0.000172163,-0.057791236,-0.30416488,-0.094848373,-0.114622648,-0.038665991,-0.038900322,-0.188615133,-0.162173883,-0.27527477,-0.214323502,-0.017143611,-0.378940404,-0.400442405,-0.367294149,-0.257178074,-0.218193181,-0.268056159,-0.187519029,-0.211927818,-0.152626651,-0.191227627,-0.258357374,-0.088951743,0.033926031,0.004281291,-0.08672694,0.167224598,0.052499032,0.201671339,0.330494329,0.185510225,-0.131418593,-0.054628482,0.039576441,-0.05660152,0.048596617,-0.023694809,0.214520102,-0.193579129,0.028260068,0.058006354,-0.137870866,-0.043614656,-0.075734742,-0.053190575,0.079191652,0.034201719,0.143456125,0.024483192,0.250322698,0.18855427,0.082417557,-0.064164571,0.161561271,-0.120440001,0.068009724,-0.122156129,0.230072312
½ã-ÃÃ,0.315589947,0.098919357,0.19165778,0.184603571,0.333152197,0.473957394,0.384855864,0.466283805,1,0.023527852,0.080659705,0.000514904,0.047910869,-0.167626173,-0.029125368,0.122610116,0.048936121,-0.087503543,0.04039919,-0.047694492,0.029797862,-0.059844664,0.00128177,-0.045777291,0.029946964,0.243186584,-0.153211473,-0.098989429,-0.089559674,0.082324249,-0.194253836,-0.049211372,-0.038497418,0.015742483,-0.099489509,-0.110667087,0.021305752,0.064755712,-0.195348747,-0.011362535,-0.110996396,-0.168752617,-0.131617398,-0.138657849,0.083589339,-0.121118221,0.048701369,-0.199624931,-0.204585246,0.133812494,-0.066095316,-0.114561304,-0.095809391,0.373923578,-0.176327921,-0.03984115,-0.005655246,0.280805357,0.149828657,-0.042499579,-0.135547069,-0.02642966,-0.195156045,-0.072955506,-0.163993504,-0.031710761,0.11890129,0.118612604,-0.017166701,0.126977168,-0.164531527,-0.075470504,-0.197145508,-0.195072644,0.112345861,-0.210097416,-0.160199561,-0.046479198,0.026703216,-0.269431797,0.05034119,0.022674903,0.046681727,-0.034472327,-0.243099764,-0.317966411,-0.162089218,-0.147190488,0.020419133,-0.062849912,-0.104332619,-0.038613366,-0.222762101,-0.19821399,0.181809898,-0.257104478,-0.375610002,-0.2404058,-0.163571759,-0.274539774,-0.181942659,0.104913284,-0.26992659,-0.250553523,-0.248265036,-0.123790762,-0.137856827,-0.140591938,-0.121050721,-0.048197908,0.078525658,-0.111309363,0.072816828,0.132420598,0.231217809,0.058143648,0.075736973,0.156509692,0.088504542,0.101820868,0.092071623,0.069887508,0.051750801,-0.018848656,0.167384952,0.079747593,-0.015998742,-0.080118536,0.158143543,0.144228433,-0.080828481,0.197347878,-0.104804837,0.08871996,0.110706877,0.060404591,-0.142532518,-0.02025804,-0.056713625,0.080723415,-0.088034706,0.062268931
×æ¸¸-Ëï×Ó,0.102008064,0.254568373,-0.010932407,0.109652866,-0.066076578,0.144752103,0.195192567,0.192418992,0.023527852,1,0.386826623,0.509883334,0.15946164,0.476802466,0.227757722,0.468348779,0.075527822,0.391904231,0.214919135,0.144931066,0.168238972,0.322532119,0.127039153,0.265287594,0.135244721,0.299260363,0.080608516,-0.038839707,-0.098481656,-0.144304493,0.21080008,0.131482577,-0.019221848,-0.163025163,-0.057211501,-0.08538443,0.059765156,-0.221467954,0.00297355,-0.147389603,-0.151073843,-0.320717562,-0.246233323,-0.234932933,-0.185277873,-0.142653098,-0.04516157,-0.133444949,-0.258275089,-0.140852778,-0.163485468,-0.364470525,-0.014310801,-0.099018879,-0.090019475,-0.018136305,-0.076880834,-0.127088413,0.043943944,-0.126591431,-0.076884046,-0.204386759,-0.074225441,-0.417486073,-0.255833546,-0.263265345,0.027943996,0.175096454,-0.043605304,0.176704032,-0.061958209,-0.146284491,-0.102252737,-0.119465713,-0.217158507,-0.29815813,-0.30146577,-0.115705897,-0.134118509,-0.133528095,-0.0130853,-0.244818781,0.164991892,0.312112496,0.100144357,0.052876528,0.050122104,0.158578388,0.223330087,0.134476963,0.147687283,-0.021318914,0.126800747,-0.039397477,-0.232068809,0.186505221,0.040500315,-0.246500984,-0.224176671,-0.046988512,0.072803021,-0.083186793,-0.0166833,-0.176081771,-0.00472541,-0.093467561,0.094093791,-0.086072153,0.104287268,0.03821085,0.064795681,-0.034602688,0.113135466,-0.072355104,0.01616657,-0.216373749,-0.2554338,-0.250938094,0.176659314,0.022002419,0.135865241,0.06561342,-0.014807857,0.036629428,-0.01174167,-0.242261711,-0.024396087,-0.098487865,-0.113809869,-0.2694002,-0.024122307,-0.094869584,-0.352934814,-0.122630527,-0.094495928,-0.142579667,-0.181333792,-0.091850727,-0.073571103,-0.167467463,-0.119596055,-0.012758104
×æ¸¸-ËïÅ®,0.295186114,0.223498126,0.184163876,0.153022132,0.110620796,-0.0239558,0.083439897,0.06075904,0.080659705,0.386826623,1,0.539937558,0.547550894,0.357957864,0.501285774,0.620544194,0.527090121,0.454011012,0.504293722,0.463880499,0.516733553,0.322005355,0.352917013,0.139623003,0.283479466,0.279072987,-0.15535794,-0.037799782,-0.309769146,-0.130412749,0.096269341,-0.025620662,-0.03687787,-0.238447138,-0.146650944,0.262884648,0.437007386,0.240547423,-0.067681402,0.183126964,0.09904682,-0.067250264,-0.149831116,-0.080247326,-0.052520576,0.226066006,-0.017276739,-0.215505963,-0.162028429,-0.036852899,-0.043725579,-0.291778296,-0.005082164,0.056389625,-0.265431449,-0.028726781,-0.070379187,-0.166996032,-0.176840398,-0.25312225,-0.17600021,-0.196233882,-0.320531524,-0.267747578,-0.317657274,-0.09412878,0.039960142,0.149805212,-0.103342921,0.126944303,0.109280756,-0.010047379,0.101268042,0.057174922,0.025413907,-0.226136619,-0.168306419,0.095282913,0.114934075,-0.102576633,-0.120939338,-0.254822378,0.153429689,-0.030354257,-0.089555785,-0.019723809,-0.042895221,-0.04858085,-0.16496775,-0.262443808,0.324850582,0.089748538,0.080734421,-0.251311291,0.04102039,0.145570527,0.125661586,-0.114411056,-0.029013344,0.106698096,0.199039575,0.104387284,-0.12513441,-0.110962048,-0.104296521,-0.121250016,-0.202464486,-0.284791808,-0.180512695,-0.152692273,-0.083102345,-0.313266138,-0.002409919,-0.201625075,-0.150664274,-0.083459208,-0.211269647,-0.209292351,0.169960215,0.113598196,0.074159123,0.106603088,-0.050164165,-0.068051628,0.005463613,-0.022574296,-0.151249799,-0.126911526,0.034158529,-0.051926322,-0.337205802,-0.112420372,-0.391514772,-0.157482753,-0.231745373,-0.350411148,-0.405756447,-0.359293122,-0.479445688,-0.376801594,-0.379557323,-0.216458166
