Column1,±íÉ©-±íÐ¡Êå,±íÊå-±íÖ¶,±íÐÖ-±íµÜ,±íÐÖ-±íÃÃ,±í½ã-±íµÜ,±í½ã-±íÃÃ,²®¸¸-Ö¶Å®,²®¸¸-Ö¶Ï±,²®¸¸-Ö¶Å®Ðö,²®¸¸-Ö¶×Ó,²®Ä¸-Ö¶Å®,²®Ä¸-Ö¶×Ó,Ôø×æ¸¸-ÔøËïÅ®,Ôø×æ¸¸-ÔøËï×Ó,Ôø×æÄ¸-ÔøËïÅ®,Ôø×æÄ¸-ÔøËï×Ó,´Ó×æ¸¸-´ÓËïÅ®,´Ó×æ¸¸-´ÓËï×Ó,´Ó×æ¹Ã-´ÓÖ¶Ëï,´Ó×æÄ¸-´ÓËïÅ®,´Ó×æÄ¸-´ÓËï×Ó,ÐÖ-µÜ,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸µÜ,Ä¸Ç×-Ç×Éú×ÓÅ®,Ä¸Ç×-·ÇÇ×Éú×ÓÅ®,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸µÜ_1,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸ÃÃ,Í¬¸¸ÒìÄ¸×ÓÅ®-Í¬¸¸ÒìÄ¸×ÓÅ®,Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸µÜ,Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸ÃÃ,µÜÏ±-²®,·ò-ÆÞ,·ò-ÆÞ_2,³ö¹ìÕß-µÚÈýÕß,·ò-ÆÞ_3,¸¸-Å®,¸¸-×Ó,¸ß×æ¸¸-ÐþËï,¸ß×æÄ¸-ÐþËï,¹«¹«-¶ùÏ±,¹Ã±íÐÖ-¹Ã±íµÜ,¹Ã±íÐÖ-¹Ã±íÃÃ,¹Ã±í½ã-¹Ã±íµÜ,¹Ã±í½ã-¹Ã±íÃÃ,¹ÃÄ¸-Ö¶Å®,¹ÃÄ¸-Ö¶×Ó,¹Ã-É©,¹Ã¸¸-Ö¶Å®,¹Ã¸¸-Ö¶×Ó,Ç×¼Ò-Ç×¼Ò,¼Ì¸¸-¼ÌÅ®,¼Ì¸¸-¼Ì×Ó,¼ÌÄ¸-¼ÌÅ®,¼ÌÄ¸-¼Ì×Ó,¼ÌÍâ×æ¸¸-¼ÌÍâËïÅ®,¼ÌÍâ×æ¸¸-¼ÌÍâËï×Ó,¼ÌÍâ×æÄ¸-¼ÌÍâËïÅ®,¼ÌÍâ×æÄ¸-¼ÌÍâËï×Ó,¼ÌÐÖ-¼ÌµÜ,¼ÌÐÖ-¼ÌÃÃ,¼Ì½ã-¼ÌµÜ,¼Ì½ã-¼ÌÃÃ,¼Ì×æ¸¸-¼ÌËïÅ®,¼Ì×æ¸¸-¼ÌËï×Ó,¼Ì×æÄ¸-¼ÌËïÅ®,¼Ì×æÄ¸-¼ÌËï×Ó,¾Ë±íÐÖ-¾Ë±íµÜ,¾Ë±íÐÖ-¾Ë±íÃÃ,¾Ë±í½ã-¾Ë±íµÜ,¾Ë±í½ã-¾Ë±íÃÃ,¾Ë¸¸-ÍâÉûÅ®,¾Ë¸¸-ÉûÏ±,¾Ë¸¸-ÉûÅ®Ðö,¾Ë¸¸-ÍâÉû,¾Ë¹«-ÉûËï,¾ËÄ¸-ÍâÉûÅ®,¾ËÄ¸-ÍâÉû,ÃÃ·ò-ÆÞÐÖ,ÃÃ·ò-ÆÞ½ã,Ä¸-Å®,Ä¸-×Ó,ÆÅÆÅ-¶ùÏ±,Ô­Åä-µÚÈýÕß,Èý´ÓÐÖ-Èý´ÓµÜ,Êå¸¸-Ö¶Å®,Êå¸¸-Ö¶×Ó,ÊåÄ¸-Ö¶Å®,ÊåÄ¸-Ö¶×Ó,Êå-É©,¼ÌÄ¸-¼Ì×ÓÅ®,¼ÌÄ¸-¼Ì×ÓÅ®_4,ÌÃ²®-ÌÃÖ¶,ÌÃÐÖ-ÌÃµÜ,ÌÃÐÖ-ÌÃÃÃ,ÌÃ½ã-ÌÃµÜ,ÌÃ½ã-ÌÃÃÃ,ÌÃ½ã·ò-ÌÃÄÚµÜ,ÌÃ×æ¸¸-ÌÃÖ¶Ëï,ÌÃ×æÄ¸-ÌÃÖ¶Ëï,ÍâÔø×æ¸¸-ÍâÔøËï,ÍâÔø×æÄ¸-ÍâÔøËï,Íâ×æ¸¸-ÍâËïÅ®,Íâ×æ¸¸-ÍâËï×Ó,Íâ×æÄ¸-ÍâËïÅ®,Íâ×æÄ¸-ÍâËï×Ó,ÐÖ-µÜ_5,ÐÖ-ÃÃ,ÐÖÆÞ-µÜÆÞ,Ñø¸¸-ÑøÅ®,Ñø¸¸-Ñø×Ó,ÑøÄ¸-ÑøÅ®,ÑøÄ¸-Ñø×Ó,ÒÌ±íÐÖ-ÒÌ±íµÜ,ÒÌ±íÐÖ-ÒÌ±íÃÃ,ÒÌ±í½ã-ÒÌ±íµÜ,ÒÌ±í½ã-ÒÌ±íÃÃ,ÒÌÄ¸-ÍâÉûÅ®,ÒÌÄ¸-ÍâÉû,ÒÌÆÅ-ÒÌÉûËï,ÒÌ¸¸-ÍâÉûÅ®,ÒÌ¸¸-ÍâÉû,Òå¸¸-ÒåÅ®,Òå¸¸-Òå×Ó,ÒåÄ¸-ÒåÅ®,ÒåÄ¸-Òå×Ó,Òö²®Êå-ÒöÖ¶,Ô­Åä-¼ÌÊÒ,ÔÀ¸¸-Å®Ðö,ÔÀÄ¸-Å®Ðö,ÔÙ´ÓÐÖ-ÔÙ´ÓµÜ,½ã-µÜ,½ã-ÃÃ,½ã·ò-ÃÃ·ò,½ã·ò-ÆÞµÜ,ÐÖ-µÜ_6,×å²®Êå-×åÖ¶,×åÐÖ-×åµÜ,×å½ã-×åÃÃ,×æ¸¸-ËïÅ®,×æ¸¸-Ëï×Ó,×æÄ¸-ËïÅ®,×æÄ¸-Ëï×Ó,×æÏÈ-ºó´ú
±íÉ©-±íÐ¡Êå,1,0.492134712,0.506318334,0.383550526,0.1549313,0.374490616,-0.410346955,-0.284864899,0.138673345,-0.082938736,-0.207709718,-0.285366663,-0.043067624,-0.171807648,-0.207478759,-0.112403481,-0.116160914,-0.112272459,-0.012059146,-0.420524263,0.024191022,0.104500039,0.00594656,-0.232965119,-0.30128056,-0.037249159,-0.045977826,-0.032404359,-0.126492591,-0.059705791,-0.002466214,-0.310296069,-0.247280513,-0.068355913,-0.306780172,-0.381082961,-0.315728555,0.016896568,-0.186073511,-0.11723386,0.280895816,0.206401343,0.24420336,0.097678556,-0.175731683,-0.15727275,0.024317077,-0.194504473,0.164442112,0.007002008,-0.406399386,-0.155464822,0.019384573,-0.234409313,-0.35842484,0.10596219,-0.170558095,-0.040536511,0.08631361,-0.214517246,-0.081365785,-0.124993827,0.145034253,0.062697355,-0.297699414,0.001645394,0.371042028,0.392193606,0.123954381,0.317946889,0.003326949,-0.05115678,0.316792899,-0.086778472,0.10477411,-0.207309791,-0.040109281,0.523634452,0.155253721,-0.071716204,-0.237455455,-0.18481153,-0.30597074,-0.039385339,-0.241785289,0.116467879,-0.240324691,0.098609365,0.088870651,-0.121442685,-0.197794071,-0.003276053,-0.166377125,0.0908261,0.020987853,0.032662787,0.414409703,0.116017669,0.310771532,0.2246927,-0.058467817,-0.061536592,-0.081606572,0.060735805,0.197370762,-0.03348933,-0.203440607,0.114457251,-0.411111008,-0.318272664,-0.211991187,-0.198913708,0.377974679,0.310826351,0.083077336,0.411292326,-0.122265734,-0.062565229,0.411985902,-0.125001613,0.020923856,-0.055739765,0.036034305,-0.107886934,-0.032281692,0.358152209,-0.01549244,0.11443846,0.210765116,0.114982841,-0.147737545,-0.144526368,0.176971325,0.389526056,0.008407013,0.487929478,0.347238298,0.361384769,-0.235817214,-0.021558245,0.011716333,-0.28306321,-0.047213804
±íÊå-±íÖ¶,0.492134712,1,0.358782269,0.324690125,0.165629647,0.305039807,-0.189441233,-0.171739743,0.056324592,0.072262982,0.037994942,-0.179514372,-0.135096519,-0.165511261,-0.270411529,-0.08125744,0.035449391,-0.06189167,0.009946274,-0.396006581,0.176514377,0.154449371,0.127140361,-0.185621725,-0.271344593,-0.05728208,0.003006045,0.067357966,0.026766631,-0.120779576,-0.030864603,-0.320415611,-0.069922187,-0.075757378,-0.177699878,-0.237001076,-0.295325839,0.032641671,-0.09341218,-0.16944447,0.24576606,0.191970488,0.169588073,0.169939351,-0.136895885,-0.208640704,0.131368414,-0.227210922,0.321891984,-0.102814418,-0.268283157,-0.140084309,-0.071523208,-0.253615131,-0.132849987,-0.086029037,0.015372437,-0.018090024,0.109028598,-0.095684598,-0.132151675,-0.025199872,0.144166786,0.08905382,-0.239252111,-0.011424925,0.329749307,0.256126004,-0.008035866,0.180656303,-0.038250704,-0.194682535,0.185581787,-0.146594292,0.135056056,-0.240298642,-0.112468623,0.273739805,0.218511778,-0.03357591,-0.300365963,-0.175760035,-0.19251767,-0.070265392,-0.117453585,-0.013365779,-0.223484323,0.01165767,-0.020231643,-0.103265899,-0.106152251,0.17862823,-0.230170274,-0.030186346,-0.007080444,0.036622435,0.508622297,0.245551528,0.325539081,0.150255853,-0.096184984,0.001614796,-0.048863552,0.0984998,0.124685071,-0.121853823,-0.213147585,-0.097947551,-0.245785839,-0.272693091,-0.100930106,-0.128961739,0.275393052,0.16631868,0.134642943,0.320463562,-0.229305189,-0.143660429,0.188201959,-0.076515091,-0.003056738,-0.027945775,-0.047295602,-0.095150412,0.003964306,0.414366209,-0.039973056,0.213559068,0.166734983,0.038681186,-0.108755028,-0.026144326,0.044847411,0.292161028,0.190727346,0.326917266,0.202689635,0.336968521,-0.179822172,-0.161159518,-0.096123439,-0.170091339,-0.136475107
±íÐÖ-±íµÜ,0.506318334,0.358782269,1,0.597414226,0.493838925,0.31371325,-0.262893232,-0.321401284,-0.180405125,0.018172188,-0.10610682,-0.221506124,-0.00691296,-0.207730241,-0.188017519,-0.180376671,-0.157452195,-0.126618796,0.074929979,-0.256773441,0.051942992,0.165399813,0.071375969,-0.199480685,-0.284726497,0.099946488,0.189408648,-0.114180824,0.012279791,-0.050591329,0.152961617,-0.221035227,-0.28102793,-0.182508786,-0.299101758,-0.316114821,-0.379423671,0.017626912,-0.166218067,-0.146804126,0.424438964,0.260550433,0.528806413,0.110824671,-0.126508646,-0.120238648,0.023160103,-0.028454055,0.146041195,0.071582841,-0.336066426,-0.17763235,-0.022993719,-0.21764823,-0.293898414,0.090871058,-0.172811254,-0.001690804,0.210017691,-0.061509606,-0.060120666,-0.114657974,-0.140395217,-0.159369548,-0.254034859,-0.079118431,0.383449402,0.381818849,0.448725467,0.326448904,-0.000799363,-0.159046238,0.113504241,-0.065773941,0.044455244,-0.115531714,0.08717581,0.449383074,0.307675823,-0.157437983,-0.279017159,-0.447714029,-0.268962978,-0.00805682,-0.28761902,-0.017798224,-0.265305435,-0.020192118,0.179140914,-0.052200574,-0.264085436,0.206828891,-0.145639769,0.257923542,0.11866506,0.106971419,0.253415403,0.151661765,0.125078735,0.314436137,0.054839764,-0.177888853,-0.21020345,-0.09302895,0.13868069,0.013928822,0.002765418,0.235928119,-0.514858794,-0.328836143,-0.316304372,-0.272754841,0.34869593,0.321413161,0.21136801,0.429215933,-0.130273523,0.021050911,0.179813559,0.040193467,0.1039647,-0.04502961,-0.055983333,-0.063199559,-0.169713053,0.245801365,-0.073736192,-0.09651827,0.041760666,0.215557487,0.006113198,-0.074799375,0.18187265,0.154245136,0.071376757,0.308049913,0.337876163,0.26046448,-0.438626248,-0.052743685,-0.170586487,-0.328521181,-0.196370666
±íÐÖ-±íÃÃ,0.383550526,0.324690125,0.597414226,1,0.453783693,0.370421139,-0.194247323,-0.215486222,-0.184562688,-0.168880016,0.059979926,-0.291860703,-0.051858078,-0.308349176,-0.274430377,-0.168471337,-0.094861118,-0.223624848,0.157784007,-0.25312717,0.027403877,0.053485714,-0.041246684,-0.203203306,-0.349742954,-0.149037027,0.029511035,-0.110549424,0.011309329,0.016901492,0.07268943,-0.020499509,-0.096940366,-0.09533021,-0.132885834,-0.099099327,-0.417649133,-0.059542789,-0.09097715,-0.140449561,0.524404705,0.473497366,0.456528239,0.315373051,-0.152495254,-0.165056251,0.250409168,-0.14674264,0.25574134,0.238991738,-0.278081925,-0.126510486,0.007046776,-0.201462182,-0.186614025,-0.051508941,-0.023314162,0.056426779,0.057999089,-0.13639599,-0.14810976,-0.05192998,-0.033773015,-0.123770837,-0.244870386,-0.090988288,0.410803892,0.508946436,0.316689956,0.322395252,-0.02147717,-0.152891023,0.069109184,-0.100287231,0.027038595,-0.172423189,0.048328444,0.410869203,0.322809129,0.013119988,-0.269021994,-0.303096051,-0.07301551,0.033663034,-0.271811243,-0.03622837,-0.25986778,-0.042593581,0.139837492,-0.037394469,-0.255765671,-0.010712288,-0.249139607,0.212417022,0.020815912,0.173817028,0.235763192,-0.021123135,0.057404717,0.199068215,-0.045137022,-0.1084933,-0.184032338,0.035360363,0.000401908,-0.137007701,-0.001678327,0.156355155,-0.367193981,-0.383502229,-0.224200577,-0.355248023,0.248673366,0.38221702,0.212764238,0.360810003,-0.271485881,-0.051581518,0.084488269,0.022031172,0.093777608,-0.063957648,-0.073435138,-0.106670385,-0.068143403,0.296058083,-0.080999308,-0.117187136,0.022049557,0.072329536,-0.057945118,0.073708417,0.353516903,0.264098973,-0.013745897,0.221797167,0.067578714,0.233623901,-0.361043385,-0.031239823,-0.104500866,-0.395444191,-0.159579437
±í½ã-±íµÜ,0.1549313,0.165629647,0.493838925,0.453783693,1,0.382748534,-0.087489033,-0.283402652,-0.185489104,-0.090429666,0.099249716,-0.141281052,0.049320722,-0.345711905,-0.21328265,-0.034424171,0.068611249,-0.204378319,-0.175738945,-0.157152568,-0.089607346,-0.070738934,-0.031899155,-0.203883014,-0.280874478,-0.004496376,-0.018997299,-0.190046931,0.336647833,0.138102166,0.04903244,-0.037042877,-0.136381258,-0.094923183,-0.309686023,-0.025688697,-0.322295864,-0.051321501,-0.061622925,0.050735492,0.446176407,0.280789409,0.590446357,0.268579354,0.079224597,-0.098452277,0.043969983,-0.145706342,0.01209497,0.035298887,-0.215262673,-0.097760371,0.158313849,-0.237717543,0.025813773,0.060280703,-0.016288123,-0.173519123,-0.120882455,-0.267213265,0.044691036,0.039226355,-0.002109346,-0.27652113,-0.373160541,-0.26443991,0.199075077,0.356291068,0.490171896,0.38408921,0.074132212,-0.256024213,-0.008835955,-0.079646893,-0.134306603,-0.13862571,-0.045502193,0.180456707,0.313803008,0.054224622,-0.13181839,-0.149751443,-0.138876112,-0.199966781,-0.10908652,-0.029002124,0.085773571,0.087631672,0.083931105,-0.205239149,-0.219851552,-0.022989492,-0.13657575,0.267360887,0.257505637,0.319924077,0.098514744,-0.230307912,-0.206254782,-0.001871195,0.136710369,0.049161771,-0.100447977,0.205392359,-0.010486832,-0.146857413,-0.065233537,0.295749194,-0.264781651,-0.353854804,-0.114056955,-0.389175703,0.388612145,0.474694103,0.597346084,0.30486534,-0.081386608,0.031444037,0.168867855,0.175774128,0.076646236,-0.022239739,-0.005019425,-0.059876684,-0.044036763,0.122897998,-0.221538483,0.021533491,0.086263869,-0.101339374,0.142861489,-0.000643945,0.363456637,0.260881253,-0.153225585,-0.044912827,-0.134395857,0.177959554,-0.157333655,-0.032306652,0.07033864,-0.271137339,-0.142392608
±í½ã-±íÃÃ,0.374490616,0.305039807,0.31371325,0.370421139,0.382748534,1,-0.220089872,-0.300192347,0.0937781,-0.262391683,0.056171003,-0.300784987,0.088980876,-0.25942738,-0.100562607,-0.017155647,0.296786588,-0.064787645,-0.199105861,-0.243839454,-0.11930288,-0.133779442,-0.131060896,-0.229292478,-0.321321054,-0.184291088,-0.103595561,-0.078582536,0.121322866,0.222935742,-0.079756398,-0.059796784,-0.021844507,-0.050694086,-0.316362846,-0.073645429,-0.311285818,0.05390798,0.005369645,0.080465894,0.304055747,0.188566808,0.327161466,0.505644787,0.005306908,-0.175326876,-0.017404066,-0.301575896,-0.022574043,0.046309937,-0.255720449,-0.128326472,0.192070237,-0.243562129,-0.151001562,0.175711451,-0.005380656,-0.155666977,-0.235401045,-0.319361524,-0.17973286,0.038826398,0.209141194,-0.167746654,-0.276228877,-0.204509784,0.167985782,0.425522847,0.064641463,0.487316165,0.139208563,-0.299067539,0.147086616,-0.209575938,-0.148349365,-0.190264565,-0.221550124,0.297827132,0.134810717,0.280317374,-0.152950349,-0.026711012,-0.106487811,-0.181427451,-0.099252915,0.013433704,0.035143882,0.143155881,0.006798672,-0.216428255,-0.115511511,-0.232299684,-0.135648302,0.170639553,0.147246289,0.269640965,0.297699121,-0.173634932,0.043709614,-0.034717575,0.003478683,0.198058092,-0.105816201,0.362249791,0.080613899,-0.188351268,-0.229844092,0.139027837,-0.300518955,-0.463918859,-0.053090893,-0.303806037,0.456816272,0.369438675,0.311911352,0.370636662,-0.117954924,-0.171008779,0.230320972,0.018142622,-0.068057364,0.097501652,0.172802162,-0.087480682,0.078211945,0.083342508,-0.133461592,0.13893899,0.330719299,-0.243216118,-0.087590415,0.04252748,0.356778464,0.460322562,-0.142067347,0.022019013,-0.025525313,0.269465413,-0.089323335,0.052412912,0.105429573,-0.197581448,-0.044866833
²®¸¸-Ö¶Å®,-0.410346955,-0.189441233,-0.262893232,-0.194247323,-0.087489033,-0.220089872,1,0.519074182,0.097549459,0.335513083,0.481253385,0.484185815,0.091780695,-0.016251397,0.025157874,-0.026318149,-0.036463433,-0.146037902,0.092843874,0.307554063,-0.048118316,-0.177937967,-0.16743758,-0.06292683,0.142790901,-0.031836108,0.046349886,-0.092486959,0.005048699,-0.001435183,0.213579813,0.153023976,0.183731362,-0.068227668,0.180243565,0.424778519,0.269778141,-0.207456544,-0.096273519,0.100705108,-0.214029421,-0.252578339,-0.061357373,0.017148428,0.162385015,0.137413525,0.105964836,0.348664106,0.065248749,-0.083343489,0.281444229,-0.070545467,-0.180266377,-0.119517133,0.177042843,-0.251323612,0.207760652,0.03457923,-0.162012333,0.031986719,0.03532912,0.084492786,0.016115808,-0.158641791,0.292672723,-0.253169238,-0.168857903,-0.142213469,0.060218642,-0.359066929,0.083034915,0.239831311,0.099448326,0.1708476,0.122717292,0.30457723,0.090088023,-0.266399004,0.092572979,0.001109225,0.100577788,0.06919326,0.25079054,-0.00904764,0.30459724,-0.145935095,0.258987455,-0.041004946,0.133063877,-0.076888835,-0.01361035,0.0637376,0.064422815,-0.137839404,-0.183406148,0.056138698,-0.265377963,-0.156988825,-0.286765235,-0.228168859,-0.126096833,-0.007540399,-0.082979646,0.041206465,-0.157753386,-0.0401027,0.200404024,-0.186261839,0.290535731,0.081810829,0.204374362,0.069470704,-0.44612269,-0.265517626,-0.126968345,-0.211451399,0.057084829,0.09967986,-0.158737397,0.208640357,0.085156097,0.192276131,-0.054378767,0.129547914,-0.044858235,-0.131877766,-0.056314119,-0.027494915,-0.071496514,-0.103532997,0.07382887,0.114655316,-0.220745272,-0.185026452,-0.18397992,-0.344583275,-0.204548176,-0.117842313,0.174384835,-0.260033384,0.059842705,0.016833168,-0.054357797
²®¸¸-Ö¶Ï±,-0.284864899,-0.171739743,-0.321401284,-0.215486222,-0.283402652,-0.300192347,0.519074182,1,0.301132912,0.274461233,0.330032968,0.376945628,0.1119767,0.14742654,0.109936988,0.055375974,-0.183250588,0.005583881,0.16566798,0.204790956,-0.059020865,-0.121223252,-0.216622278,-0.029048655,0.143230558,0.047604229,0.045492648,-0.048382705,-0.079897605,-0.072290718,0.247951139,0.139870375,0.095335314,-0.180372209,0.109377647,0.288363246,0.359172791,-0.208151456,-0.05832558,0.175798074,-0.276514105,-0.230030458,-0.118003266,-0.051858605,0.11133779,0.055769162,0.178226373,0.223529034,0.045328619,-0.10581189,0.14716825,-0.059374202,-0.32173325,-0.150042091,0.035049389,-0.369023387,0.198781234,0.120245347,-0.130901581,0.075626325,0.137912054,-0.016559775,0.057317286,0.058176016,0.337992366,0.07090239,-0.043165447,-0.241104121,-0.108726911,-0.298769602,-0.099694039,0.44784746,0.145989332,0.066770287,0.161467927,0.136344703,0.002601545,-0.247197144,-0.026648229,-0.009541727,0.168950728,0.23228733,0.149512854,0.051965104,0.232181648,-0.05226002,0.275009312,-0.161788568,0.13092921,-0.024367034,-0.058160896,0.04163226,0.170924749,-0.126669812,-0.2077606,-0.052670659,-0.195949019,-0.084356247,-0.00832922,-0.20281336,-0.15485784,0.081575442,-0.083692026,0.041830285,-0.093404649,0.067034214,0.080610552,-0.128726354,0.204826296,0.112035484,0.093528608,0.17432017,-0.406620874,-0.359849556,-0.230098901,-0.231777982,0.018041219,-0.023850962,-0.099050354,-0.105105047,-0.071026725,0.088390029,-0.063722897,0.024494428,-0.014787751,-0.14256793,-0.093284035,-0.016615231,-0.113399865,-0.0710315,0.072716754,0.025716648,-0.228427479,-0.15154792,-0.097318581,-0.16548089,0.031223708,-0.09383395,0.293462864,-0.203804797,-0.030706003,0.124044121,0.036969205
²®¸¸-Ö¶Å®Ðö,0.138673345,0.056324592,-0.180405125,-0.184562688,-0.185489104,0.0937781,0.097549459,0.301132912,1,0.191375861,-0.002757014,0.025439215,0.138388084,0.142503591,0.107377188,0.145420081,0.062432862,0.08878372,-0.221227642,-0.281765212,-0.153063342,-0.032949604,-0.154115051,-0.078354138,-0.016789206,0.048078772,-0.076945844,0.041953914,-0.031784969,0.016623634,0.036604762,-0.138473355,-0.162272057,-0.153190812,-0.170722354,-0.070609397,0.228742012,0.027874758,-0.097248117,0.059090461,-0.183645636,-0.22177683,-0.005239154,0.041794144,-0.072178021,-0.164874264,-0.115886392,-0.195906808,-0.032096649,-0.040470252,-0.040136243,0.109753003,-0.067433116,-0.148462826,-0.177180046,-0.053340852,-0.091426134,-0.204941887,-0.169123677,-0.163431417,0.118689852,-0.106785327,0.307995236,0.113807596,-0.057821305,0.156587538,0.104555344,0.031086046,-0.202167334,0.051910763,0.02804636,0.145248642,0.415501795,-0.028397439,0.068279809,-0.093605079,-0.247087716,0.114559123,-0.054140054,0.098432525,0.036279669,0.220857008,-0.130066757,-0.157650205,0.113099773,0.084938696,0.04415663,0.113160484,-0.021759256,-0.279999173,-0.025780174,-0.100968793,0.130213941,-0.139313921,-0.142819533,-0.110707549,0.019391473,-0.142543915,0.063144624,-0.257080538,-0.191102286,0.153136378,-0.008553452,0.221393092,0.008811539,0.085496399,-0.21294476,0.035653258,0.005882556,-0.049561557,0.046314193,0.214738439,0.108621961,-0.026912985,-0.093528633,-0.097906118,-0.057412193,-0.147129848,0.226389548,-0.162939806,-0.078970386,0.195554228,0.294086357,-0.079434512,0.167626596,-0.038816009,-0.143307456,0.155367341,0.137144719,-0.16674239,-0.090479946,-0.15461291,0.080208644,0.374318635,-0.071911147,0.069031333,0.071296936,0.079585175,0.207086045,-0.004760517,0.120673374,0.111514499,0.290993872
²®¸¸-Ö¶×Ó,-0.082938736,0.072262982,0.018172188,-0.168880016,-0.090429666,-0.262391683,0.335513083,0.274461233,0.191375861,1,0.30754037,0.366183956,0.036717311,0.277948043,0.047853171,0.082959866,-0.180021396,0.22918964,0.123292271,-0.155566569,0.127052614,0.29043378,0.218243072,0.126800229,-0.005660296,0.334718975,0.257755998,0.124324658,0.090184075,-0.177615831,0.210376884,-0.323520307,-0.173280559,-0.210765341,-0.052729037,0.045460694,0.268461265,0.016468133,-0.129365385,-0.192219566,-0.03306787,-0.137769871,0.102629044,-0.306600284,-0.021901767,-0.060848652,0.009266315,-0.031931444,0.257785249,-0.294661837,-0.087972437,0.063035266,-0.240800804,-0.0851421,-0.187717006,-0.179287167,-0.080149858,0.081494681,0.252591048,-0.00411834,0.1539618,-0.287834496,-0.093040418,0.167550813,-0.005951552,0.131356959,0.181574877,-0.155791597,0.011029207,-0.1863953,-0.294872858,-0.008108445,-0.056948138,0.072918305,0.287301078,-0.129650403,0.029394663,-0.236126151,0.056586854,-0.172215848,0.082733937,-0.134055341,-0.15916548,-0.018341698,-0.089385623,-0.040509563,-0.075544553,-0.08025705,0.026140967,0.002738662,-0.101868421,0.515032457,0.143924707,-0.211584583,-0.051773402,-0.242718513,-0.204577009,0.297304571,0.085005018,0.142951332,-0.067222222,-0.228924047,-0.125479291,-0.074517152,0.152585183,0.049404103,-0.202157941,-0.176116895,-0.107088811,0.130527967,0.015250775,0.30623376,-0.067886851,-0.236974564,-0.132079465,-0.196893529,-0.108451116,0.009365379,-0.005428236,-0.25648154,-0.001366294,0.078571461,0.054919314,-0.006743804,-0.032419794,0.156425422,-0.024517611,-0.018183059,-0.248015727,0.214712276,0.029300512,-0.368960024,-0.281965179,-0.182335485,0.28687518,0.053346655,0.081807989,-0.128753633,-0.081962926,-0.02166201,-0.171428151,0.101654193,0.064365782
²®Ä¸-Ö¶Å®,-0.207709718,0.037994942,-0.10610682,0.059979926,0.099249716,0.056171003,0.481253385,0.330032968,-0.002757014,0.30754037,1,0.382223584,0.168084581,-0.041210637,0.174443412,0.282546561,0.151631053,-0.076090402,0.123843142,0.225687838,0.032671428,-0.14727795,-0.054559552,-0.014383844,-0.120016664,-0.143576642,-0.082355724,0.0259129,0.029286501,0.097386502,0.100408939,0.10379564,0.116410596,-0.161049255,-0.022351642,0.339498702,0.00523569,-0.071648895,0.149743755,-0.077660436,0.228626149,0.005843487,0.121837674,0.181250687,0.206126803,-0.063494023,0.124625813,-0.036485053,0.25753793,-0.084485544,-0.156043438,-0.200491679,-0.126819331,-0.342851704,0.104462403,-0.308042952,0.376697358,0.140131177,-0.223968569,-0.193872795,-0.075262789,-0.077830609,0.090320157,0.034747347,0.207786639,-0.128965103,0.109724487,0.125068048,0.066982241,-0.081709835,-0.217029245,-0.140802586,-0.046150361,-0.140443075,0.262655481,-0.089593481,0.041631947,-0.225163914,0.200245982,0.241028676,0.037657762,0.136481947,5.98E-05,-0.104425068,0.087445784,-0.131578688,0.258511761,-0.047701975,-0.077755525,-0.104847402,-0.271123037,0.138081167,-0.126307464,-0.200777781,-0.075234343,0.14067292,0.030236988,-0.03237837,-0.006343509,-0.07302487,0.077935033,0.074878089,-0.15891221,0.361301795,0.029321023,-0.326921199,-0.149324563,-0.123307309,0.063447287,-0.193737168,0.136184593,-0.029820009,-0.121817856,-0.075176692,0.093924331,0.001092338,-0.056484497,-0.066969316,-0.037914457,0.03438007,-0.06449525,0.008440293,-0.154176027,-0.018372671,-0.180220146,0.208663264,-0.089903916,0.021528139,-0.154308031,-0.139345395,-0.059914011,-0.049810034,-0.059020703,-0.146355327,-0.018644847,-0.20736356,-0.308050301,-0.017651327,0.137154821,-0.203378425,0.094683153,0.030374863,0.016487164
